#{"t_start": 1773288062.043596, "env_id": "None"}
r,l,t
-171.066255,125,2.999388
-185.560212,191,5.950868
-145.407009,85,7.252393
-169.262045,121,9.11301
-159.182468,103,10.728531
-171.096,145,12.95791
-165.773647,102,14.508547
-162.036834,127,16.447937
-153.226024,132,18.509521
-158.293529,124,20.423497
-216.765989,430,29.413059
-187.48225,128,32.195352
-177.299183,157,35.573934
-158.744826,147,58.762897
-112.881834,470,68.940507
8.203463,442,78.561071
-203.567106,462,88.615013
-184.617945,309,95.361474
40.428253,467,124.597647
164.433691,376,132.825108
-87.994449,369,140.879961
132.330991,1009,162.851082
195.912023,315,189.013175
471.306931,295,195.438199
436.806764,285,201.622644
217.815596,246,206.967463
511.835582,259,212.602612
477.783511,387,221.037507
515.5703,280,227.132941
232.139593,175,250.086397
470.698588,177,253.922193
495.409251,297,260.416138
483.706148,202,264.830493
532.390486,224,269.706394
197.864215,193,273.917597
471.727092,287,280.186506
459.716633,229,285.160893
516.698057,331,292.380532
497.035748,237,316.892417
484.210169,162,320.420896
495.517966,353,328.101609
512.549706,170,331.813064
500.884634,249,337.266732
476.271003,211,341.895426
530.988815,233,346.953773
501.782407,232,352.01737
471.854769,122,354.671433
544.104766,235,379.404483
497.178798,139,382.433515
214.874511,104,384.703046
482.970884,125,387.401258
498.742509,205,391.867316
488.140883,109,394.214487
478.931752,153,397.531487
524.43761,168,401.208512
483.745174,119,403.803885
511.261758,149,407.056597
490.157717,139,410.090327
460.137684,136,413.016237
480.677415,219,417.768683
465.28037,111,420.190401
485.729772,129,442.306747
489.032599,110,444.684983
475.844005,128,447.484984
453.496792,125,450.206667
475.002156,125,452.932835
488.799607,199,457.270719
510.207622,210,461.833158
475.468301,141,464.877608
465.6074,118,467.45296
487.88553,101,469.628976
500.572233,131,472.466569
509.062235,105,474.749671
523.588867,152,478.053879
484.354166,102,480.265033
546.218491,126,483.013892
468.790425,108,504.805631
514.288918,111,507.232704
486.694772,100,509.382769
497.472057,100,511.561932
486.697963,157,514.994628
464.853913,110,517.372376
491.460747,116,519.887
531.3725,110,522.286066
516.307199,99,524.429618
485.771829,110,526.831966
457.928351,113,529.29035
464.051243,188,533.382078
480.901752,96,535.479854
462.639602,81,537.243105
514.86602,169,540.950799
487.734211,92,542.940295
480.034865,104,545.209774
481.763991,86,547.077531
507.663499,106,568.959127
521.136902,104,571.223013
487.491658,107,573.548677
502.562972,93,575.576134
507.027722,106,577.880318
518.707027,89,579.830136
532.354216,109,582.202451
522.3206,111,584.618158
503.118919,97,586.752114
543.322519,127,589.517729
473.532011,89,591.478326
544.697626,106,593.781476
521.666056,90,595.741995
459.375778,106,598.04335
455.839426,95,600.113624
508.919486,109,602.469033
513.904193,125,605.195977
497.179965,104,607.459187
502.643544,93,609.473544
507.180877,120,612.094902
531.778716,86,633.351422
494.255846,111,635.76578
540.797106,128,638.582217
455.628254,85,640.414626
456.151649,113,642.861202
509.397107,113,645.324709
502.434343,109,647.681775
490.522513,97,649.780579
492.014478,85,651.635399
531.036268,113,654.098371
527.449412,84,655.919798
459.084223,73,657.508757
494.248761,78,659.213222
507.313515,130,662.036015
489.502905,116,664.565911
468.215633,95,666.641398
485.076209,102,668.85273
543.002429,118,671.432633
505.258232,105,673.708128
468.911883,83,675.521998
523.114313,95,696.758437
499.289338,123,699.447974
517.904859,88,701.397119
522.015181,98,703.529963
473.591372,85,705.391341
497.011581,99,707.562526
467.572829,84,709.393408
465.289249,77,711.064579
516.964729,96,713.162078
505.857215,82,714.936096
480.154158,99,717.094467
513.993355,101,719.294906
537.439497,80,721.049363
455.11601,75,722.686283
460.397233,86,724.559032
518.880255,89,726.489983
485.367848,80,728.216911
522.409536,85,730.051973
478.834493,76,731.720448
539.347313,85,733.570302
518.945185,91,735.557331
458.89159,64,736.927942
502.553474,76,738.560295
514.353514,102,740.763079
462.498499,77,761.714842
514.235434,89,763.646409
502.717181,80,765.405543
480.322671,78,767.1022
485.833842,69,768.601665
489.707789,73,770.180059
500.210001,60,771.494347
487.83792,74,773.104168
509.211958,78,774.793713
488.434512,80,776.547217
472.893682,71,778.087893
546.236281,74,779.694334
516.818427,85,781.550358
494.741123,86,783.406507
472.859234,93,785.411862
524.295532,86,787.300544
487.638602,79,789.025717
529.922023,76,790.667642
473.953126,81,792.433643
509.337592,74,794.057763
479.436664,96,796.145408
485.6561,61,797.461057
496.710223,80,799.208196
518.237027,101,801.39562
486.762206,68,802.873818
489.699806,80,804.617584
495.121501,69,825.136045
495.731353,74,826.732914
483.024647,80,828.459322
452.630311,75,830.095291
488.371054,65,831.519461
500.106231,77,833.197955
515.802898,66,834.622344
515.728013,168,838.295909
546.510137,87,840.195916
521.384679,76,841.840905
484.961977,67,843.312835
494.364011,88,845.236434
499.533742,70,846.768387
474.672086,62,848.12537
498.4631,67,849.571463
471.570093,98,851.713707
467.115237,62,853.062227
508.851126,82,854.845328
488.711697,68,856.315272
528.084873,74,857.91358
522.63293,74,859.525401
532.274078,82,861.283387
458.19137,91,863.250853
505.500985,83,865.054784
512.462125,114,867.533283
477.661785,65,888.422403
511.647202,73,890.001149
460.322374,57,891.243454
489.556615,58,892.491873
467.887783,66,893.928069
484.525295,65,895.322645
490.746224,66,896.765134
459.006955,60,898.076933
476.276381,59,899.349284
525.542948,77,901.014213
452.944645,61,902.338725
466.122091,60,903.636652
482.357687,82,905.418924
514.336985,83,907.210634
526.998357,74,908.819679
505.188909,87,910.709781
479.554418,62,912.039741
479.320739,75,913.664752
482.369136,76,915.322837
497.840493,83,917.122501
490.583238,63,918.472229
517.058187,73,920.047367
482.476826,76,921.709887
462.573081,63,923.071063
485.181684,75,924.692204
517.108337,68,926.177536
457.138117,61,927.487418
461.862884,70,929.006496
532.630909,72,930.57978
452.062647,68,932.046226
461.593887,60,952.564345
494.615975,64,953.944088
507.562608,63,955.322461
481.026894,66,956.751317
453.941736,67,958.194825
519.720338,61,959.522116
481.330205,66,960.946984
530.442768,66,962.376696
533.088174,68,963.849684
495.797488,55,965.029047
458.16672,56,966.253397
527.188883,76,967.899292
492.906445,57,969.14726
456.00852,77,970.816678
511.591545,71,972.363826
507.0735,65,973.763847
504.225688,73,975.334362
477.362401,59,976.623157
494.882598,59,977.898234
473.57087,48,978.953526
482.616699,83,980.737903
508.398701,67,982.189929
481.904751,68,983.669334
525.658554,77,985.311887
532.960207,60,986.604982
506.645384,62,987.958098
475.403127,54,989.116728
490.203686,65,990.534791
547.423581,78,992.237515
492.996047,97,994.339525
474.581651,64,995.722205
482.813371,60,1016.614751
506.857674,57,1017.839998
519.611889,64,1019.239355
497.49259,56,1020.446462
530.947581,77,1022.123136
498.784837,67,1023.627645
476.42088,69,1025.154029
500.150152,56,1026.379636
511.494704,59,1027.692602
532.113458,69,1029.204712
491.580646,60,1030.509757
477.150919,55,1031.709311
504.50292,67,1033.166359
548.442862,77,1034.849741
469.163379,67,1036.316018
461.527629,62,1037.666142
524.387754,63,1039.048737
486.290421,59,1040.331959
499.969498,62,1041.689281
490.589805,57,1042.926553
525.531487,57,1044.170668
548.394997,73,1045.778831
460.557296,55,1046.975604
456.564868,72,1048.523713
480.025427,76,1050.206236
508.839706,59,1051.48108
478.077777,63,1052.8767
454.13783,50,1054.002643
461.106691,62,1055.344721
496.341212,53,1056.54318
507.669904,68,1058.050428
495.878057,59,1059.357519
487.221445,53,1079.803837
448.799925,52,1080.936685
493.797912,59,1082.234344
521.54127,61,1083.598441
487.826508,58,1084.882743
544.386414,68,1086.385312
526.441632,61,1087.738752
469.077279,45,1088.738447
517.050272,74,1090.403232
517.288024,55,1091.615673
517.914027,69,1093.162067
520.327469,59,1094.467118
509.744226,62,1095.836755
487.362251,84,1097.671769
472.748127,51,1098.766502
475.83413,58,1100.0235
471.159944,53,1101.193879
535.201013,57,1102.427067
551.974489,73,1104.025302
479.900283,63,1105.375642
454.461853,59,1106.660058
494.56144,54,1107.846882
493.424005,53,1108.985166
527.754462,58,1110.258896
508.463285,60,1111.557609
469.528238,47,1112.58836
484.824871,53,1113.737754
507.810445,57,1114.994551
486.162306,53,1116.134435
543.206994,67,1117.587286
493.664686,53,1118.755326
526.025971,60,1120.065001
528.332616,59,1121.35537
472.573486,89,1123.290655
465.904666,46,1124.276253
521.581755,60,1144.879256
475.535842,51,1145.988473
530.05249,60,1147.288635
447.540013,51,1148.409616
459.051691,76,1150.063421
491.87707,57,1151.304394
517.928635,60,1152.615365
500.69414,54,1153.777417
494.053099,67,1155.237961
484.395898,48,1156.274391
499.376171,64,1157.652584
554.300366,66,1159.113121
488.112976,57,1160.340899
502.875668,60,1161.64608
488.394631,63,1163.02064
449.450776,54,1164.182373
503.676101,55,1165.387366
521.623917,59,1166.666994
509.950303,60,1167.980531
505.100868,58,1169.230264
535.955807,63,1170.61235
541.092753,60,1171.907688
506.756223,52,1173.031463
536.334802,56,1174.257618
489.703512,53,1175.396371
518.897569,65,1176.81938
489.644334,47,1177.805642
527.908214,66,1179.256276
505.263827,53,1180.402966
517.132101,66,1181.83661
475.553435,58,1183.103179
527.405035,60,1184.405157
495.948922,50,1185.520476
464.944258,44,1186.496567
504.614883,52,1187.670777
