#{"t_start": 1772652890.9681716, "env_id": "None"}
r,l,t
-54.932893,39,0.946105
-54.814919,44,1.04439
-54.975976,41,1.136794
-54.824754,30,1.204572
-54.823822,42,1.299075
-54.961073,38,1.384626
-54.824918,34,1.464526
-50.96135,76,1.643894
-54.861564,44,1.746485
-54.946767,44,1.848428
-54.898859,40,1.943374
-54.889808,33,2.021663
-54.850262,48,2.1321
-54.838308,61,2.270969
-54.988429,38,2.355779
-54.887828,43,2.451992
-54.87063,42,2.546278
-54.907001,35,2.62562
-54.914517,32,2.698926
-54.92637,46,2.80268
-54.966092,44,2.901622
-54.844648,64,3.045418
-54.820062,28,3.10787
-54.975893,35,3.188415
-54.938838,53,3.308403
-54.855081,40,3.398376
-54.941515,56,3.527107
-54.910035,49,3.638711
-54.808799,58,3.771544
-54.928211,42,3.866139
-54.910557,72,4.029382
-54.991671,44,4.129203
-54.97882,35,4.207398
-54.948652,44,4.305722
-54.840704,41,4.398548
-54.950268,37,4.482436
-54.943303,43,4.579979
-54.951976,38,4.665589
-54.80046,49,4.775643
-54.896954,40,4.865374
-54.828032,33,4.93951
-54.929791,68,5.091792
-54.954147,41,5.183908
-48.043041,91,5.388264
-54.996052,36,5.469581
-53.021253,81,6.396234
-54.961115,42,6.495076
-54.863831,53,6.618697
-54.861554,39,6.711276
-54.886563,48,6.823775
-54.80077,46,6.932411
-53.185147,81,7.122205
-54.965007,57,7.255387
-54.852076,31,7.329616
-54.800054,54,7.452043
-54.812014,36,7.534218
-54.890594,42,7.629604
-54.855984,42,7.725598
-54.899376,40,7.818216
-54.891186,67,7.970117
-54.950891,56,8.097698
-54.891793,72,8.260564
-54.841748,30,8.328752
-54.92951,44,8.429927
-54.870617,40,8.521517
-54.837106,48,8.631379
-54.947812,43,8.729247
-54.894959,32,8.80274
-54.828796,48,8.913699
-54.909944,60,9.050594
-50.449443,72,9.214114
-54.966985,50,9.327013
-54.75914,92,9.536633
-54.961739,71,9.697814
-54.894948,48,9.806787
-54.895404,39,9.895939
-54.92667,38,9.982373
-54.943348,32,10.055741
-54.891762,45,10.158474
-54.996018,43,10.256788
-54.808913,49,10.369472
-54.877733,49,10.484709
-54.975886,64,10.630343
-54.888062,50,10.744081
-54.979164,42,10.83935
-54.826851,36,10.92076
-54.887626,52,11.610049
-54.825134,37,11.696882
-54.987905,63,11.844617
-54.982406,49,11.959148
-54.834928,49,12.073526
-54.837451,62,12.219151
-54.923947,58,12.355334
-54.870896,44,12.456176
-54.855664,34,12.532628
-52.143909,79,12.708973
-54.816785,42,12.80284
-54.870003,61,12.940141
-54.834164,55,13.063143
-54.825411,46,13.16601
-54.908706,37,13.249577
-54.957442,39,13.337318
-54.86386,49,13.446915
-52.942726,82,13.631236
-54.873815,78,13.805156
-54.930107,52,13.921987
-54.871354,59,14.053901
-54.938622,39,14.140942
-50.639076,84,14.329351
-54.995081,35,14.408003
-54.836805,47,14.512975
-54.935801,52,14.628777
-54.892596,56,14.754222
-54.801351,40,14.843563
-54.996645,59,14.977097
-54.829422,65,15.123343
-54.890099,50,15.235084
-52.596457,74,15.401327
-54.899623,42,15.496237
-54.871618,43,15.592289
-54.856249,51,15.70831
-52.480272,72,15.870024
-54.884052,50,15.98313
-54.934427,42,16.077862
-54.944081,45,16.731626
-54.824703,71,16.891439
-54.992173,49,17.001604
-54.867118,59,17.134033
-54.839279,58,17.26532
-54.865416,67,17.41594
-54.93624,40,17.506319
-54.92963,68,17.659379
-54.902646,41,17.752449
-54.974034,64,17.897211
-54.929335,57,18.02538
-54.980356,43,18.122508
-54.871168,49,18.232658
-54.888689,59,18.365794
-54.888502,49,18.475441
-54.818813,37,18.560973
-54.882823,66,18.710683
-54.879161,86,18.904049
-54.90464,59,19.037647
-54.802446,58,19.167769
-54.993847,73,19.336619
-53.119783,73,19.501186
-54.813271,57,19.628968
-54.931626,56,19.755486
-54.117999,96,19.971534
-54.847127,53,20.090714
-54.840608,53,20.20972
-54.867703,53,20.328793
-54.866348,58,20.459222
-54.907863,40,20.5487
-54.945201,55,20.672405
-54.932197,74,20.839867
-54.872886,84,21.029019
-54.881715,49,21.139132
-54.91564,50,21.251721
-54.813202,64,21.946874
-54.891524,69,22.101867
-54.612471,99,22.327689
-54.842683,70,22.495198
-54.931142,60,22.633353
-51.433173,70,22.793868
-54.884865,78,22.972747
-54.854349,88,23.174779
-52.623464,76,23.349377
-54.934225,63,23.493515
-54.920949,95,23.710971
-54.854327,103,23.94662
-54.920166,51,24.062541
-54.853787,59,24.198017
-54.89681,89,24.403224
-51.278891,93,24.616968
-54.853612,34,24.693962
-54.665834,94,24.910187
-54.844416,52,25.028845
-54.867523,119,25.30055
-46.310259,74,25.469725
-54.812411,49,25.581489
-54.850503,62,25.72307
-54.944878,86,25.919024
-54.882306,66,26.07004
-54.825306,87,26.268482
-51.431276,74,26.439734
-54.919298,74,27.188617
-49.420764,91,27.40081
-54.888752,68,27.560809
-54.824391,65,27.71193
-54.871151,122,27.99614
-54.974268,64,28.145417
-54.996376,68,28.303858
