#{"t_start": 1774404953.676117, "env_id": "None"}
r,l,t
-271.215446,208,1.916265
-188.713687,74,2.316616
-229.458032,153,3.15586
-257.798792,191,4.197058
-233.684414,136,4.945598
-272.513541,247,6.284928
-215.45772,117,6.928545
-187.384913,74,7.330608
-305.105381,220,8.535243
-258.619322,207,9.662852
-221.905565,136,10.402234
-171.67132,66,10.756906
-191.458031,73,11.157469
-173.640701,49,11.423424
-388.293812,660,20.469
-99.354146,272,21.979102
-614.105478,1039,27.729624
-25.220965,428,35.401318
-216.360062,753,39.608961
-89.8024,364,41.632654
333.163013,329,43.460105
-79.070795,230,44.726345
299.858366,353,51.878116
20.114324,610,55.269978
272.70586,446,57.743109
13.616165,215,58.93576
273.62191,553,66.621667
383.653466,223,67.851591
371.835769,279,69.396243
370.85779,263,70.857237
420.080988,226,72.113407
367.119137,287,73.70538
123.150751,134,74.449421
185.218527,179,75.443323
386.817553,275,76.971388
361.517877,215,83.213689
382.326732,176,84.191322
389.693599,239,85.52697
439.640006,134,86.269518
378.501588,243,87.620542
288.334603,479,90.283383
365.675073,173,91.243634
429.247337,168,92.176721
412.473039,226,93.433273
451.049894,178,99.626437
404.483409,150,100.457803
402.559533,254,101.876453
438.828473,143,102.672221
472.292444,132,103.403505
394.733716,126,104.104744
422.273573,124,104.796918
457.852458,115,105.436421
451.216407,136,106.192966
423.551697,159,107.080801
429.059715,106,107.671847
412.285817,126,108.38148
443.845365,150,109.216275
420.663663,91,109.722742
451.402329,120,110.391243
390.793048,124,115.990703
470.066966,125,116.684537
455.236574,121,117.35781
451.548171,97,117.896343
399.675139,158,118.774374
437.195272,90,119.273437
434.728703,143,120.064789
435.2961,82,120.520706
435.037256,115,121.160991
460.172115,130,121.883743
409.039518,111,122.498995
218.645359,128,123.212306
435.382947,96,123.747488
426.190406,154,124.601031
427.109756,98,125.146795
458.359165,109,125.752847
411.109338,94,126.273803
447.799117,117,126.923144
435.652745,132,132.404218
466.908805,116,133.030605
462.496222,93,133.532064
457.987154,89,134.007418
454.124801,77,134.418837
446.451956,127,135.108769
474.169356,99,135.639117
461.244968,86,136.104607
426.817479,90,136.591948
470.387664,115,137.210174
459.329224,99,137.741815
420.418531,122,138.397762
465.945783,113,139.014579
416.167632,91,139.509362
421.026146,97,140.039576
488.345925,102,140.603672
414.630203,99,141.139741
480.128595,90,141.631436
440.361342,121,142.301572
474.64173,98,142.833024
461.852471,109,148.582051
477.949934,105,149.166384
471.880919,112,149.789218
406.750768,119,150.452192
474.731686,121,151.127836
427.252204,92,151.637866
417.619651,73,152.044146
490.920496,110,152.654185
484.503736,88,153.143135
471.172001,95,153.670485
463.637236,83,154.130969
438.612335,89,154.636578
425.032722,96,155.168187
477.198304,121,155.83798
431.280662,108,156.438526
431.748922,94,156.961993
458.026612,133,157.700449
471.379254,125,158.396157
485.237537,82,158.85218
476.310682,99,159.401854
464.118434,98,164.785113
450.626395,117,165.436724
477.579725,92,165.949277
450.306693,98,166.494317
445.941028,99,167.04238
465.927083,92,167.556683
471.296243,100,168.112064
455.579594,90,168.616787
402.799085,135,169.368225
455.091876,75,169.784759
489.610015,84,170.251365
448.962981,65,170.612583
456.228224,83,171.074228
417.080382,73,171.479325
468.587144,113,172.106991
483.314168,94,172.628148
485.186457,89,173.124201
473.102141,104,173.706976
478.821511,86,174.185313
484.560542,80,174.62915
416.17824,90,175.129664
411.559804,115,175.772071
442.376936,69,181.564856
435.67231,101,182.127576
444.647588,77,182.55683
436.315937,76,182.981831
418.808398,102,183.551008
466.351071,79,183.995723
446.059267,63,184.349517
459.638907,95,184.881131
450.509326,74,185.294657
464.153423,82,185.753161
468.27412,80,186.20067
432.169472,145,187.013573
466.159424,102,187.580252
435.587435,68,187.961251
482.178941,94,188.484974
432.902217,69,188.867941
465.517386,95,189.39739
479.939128,91,189.907958
451.686127,87,190.391321
459.698282,82,190.847896
447.850889,63,191.197743
441.378966,78,191.6309
449.620347,76,192.053858
489.716668,95,192.581339
477.736549,75,197.646674
468.733234,103,198.207539
489.371325,70,198.587106
467.065215,86,199.053443
479.265047,76,199.462853
423.726732,84,199.917741
473.673799,66,200.277658
466.891407,112,200.908758
465.073022,77,201.332392
440.710572,116,201.965056
438.744886,80,202.402687
510.990945,98,202.936857
509.537471,68,203.308039
446.36294,104,203.882856
437.143159,95,204.400484
448.940893,76,204.815581
447.621166,78,205.244552
491.971325,70,205.626229
473.213392,68,206.002029
422.156881,96,206.520614
422.643296,115,207.148695
478.793475,71,207.535094
446.772421,60,207.861673
470.258077,68,208.240731
485.07905,75,213.768615
444.517414,61,214.110007
461.357025,64,214.465765
451.518443,95,214.994598
430.754283,58,215.31909
495.62072,79,215.758662
507.932746,87,216.245092
449.413753,64,216.601574
458.20797,65,216.96509
455.557194,65,217.329784
448.619892,60,217.666551
477.244204,61,218.006204
480.323268,75,218.424777
498.54755,67,218.79761
481.051291,71,219.195031
451.079319,61,219.534181
482.495951,86,220.017146
443.457962,77,220.445765
437.52293,61,220.785008
434.101436,75,221.203267
475.498257,76,221.625654
471.816449,62,221.973806
436.728264,107,222.573759
424.304202,104,223.156957
492.280481,73,223.573607
485.948137,79,224.014129
470.649862,63,224.365649
480.653103,73,224.775445
460.59802,66,225.143653
488.35675,74,230.400068
429.527005,108,230.999241
490.337915,71,231.395404
496.540241,60,231.728991
469.349867,111,232.349995
442.888232,59,232.678385
460.984783,72,233.078549
476.221,57,233.395096
515.034541,83,233.857299
451.050346,67,234.234102
472.363048,63,234.585385
438.128473,52,234.874342
508.221152,70,235.264638
495.610763,74,235.68582
506.348347,78,236.117898
419.641438,74,236.526891
503.52102,67,236.894856
526.545213,66,237.256073
491.055718,73,237.655869
474.316752,67,238.023436
494.840634,64,238.374265
476.090266,63,238.72275
443.906295,54,239.024617
450.299624,69,239.404796
492.081115,74,239.808981
454.977807,71,240.199433
443.456761,61,240.533108
449.561614,55,240.833359
490.094513,59,241.154543
489.67004,62,246.53324
478.575006,54,246.83823
474.369804,63,247.188358
460.660195,69,247.573583
471.716594,61,247.912813
464.383232,74,248.323565
446.532065,85,248.795042
498.479799,65,249.155261
491.870864,66,249.523898
479.867054,65,249.888121
502.824939,62,250.235308
486.497236,59,250.564807
522.452395,77,250.991414
479.609426,56,251.302275
508.301156,73,251.707608
518.22686,60,252.041677
496.88186,74,252.452328
513.862324,65,252.817878
463.459892,62,253.162218
515.634179,60,253.496807
468.893735,64,253.853229
449.156655,65,254.213539
462.761902,80,254.659159
494.21921,62,255.004089
486.46748,57,255.31933
461.817997,54,255.621965
468.221095,85,256.095519
492.570906,57,256.413574
475.172,56,256.725959
482.633404,73,257.132053
474.649023,56,257.442796
444.151845,66,262.914173
436.442704,68,263.304542
475.014093,64,263.661871
473.769965,67,264.035072
455.234648,53,264.329176
487.30782,59,264.657234
455.161467,67,265.030392
450.724127,45,265.280723
491.821887,58,265.607016
465.56384,66,265.980276
498.996232,62,266.325525
475.81239,58,266.652835
501.740654,61,266.996064
469.426648,68,267.374538
444.800447,78,267.810628
447.115043,58,268.1374
444.267307,53,268.432509
482.629142,47,268.696519
509.576518,75,269.115369
469.713348,60,269.451905
467.452328,62,269.808221
498.282721,53,270.108979
469.854831,47,270.372824
443.539628,60,270.71214
463.174644,59,271.042236
460.834039,53,271.336473
490.497647,64,271.69559
452.599582,57,272.01672
441.727543,51,272.302723
453.271329,60,272.638377
510.795128,68,273.019603
493.058749,72,273.421872
460.243702,57,273.742389
484.515406,72,274.144095
456.803142,60,279.831381
489.760774,59,280.159617
480.636727,53,280.453161
447.114554,53,280.744812
458.565904,66,281.112756
482.062964,69,281.49578
476.819797,58,281.817291
461.922897,53,282.11663
443.483097,52,282.40755
501.09477,53,282.706012
433.05273,63,283.061771
474.02308,53,283.355683
483.348618,75,283.76855
449.386118,61,284.106827
451.593141,61,284.443779
455.688259,50,284.718032
486.618807,61,285.053728
477.992884,69,285.434649
482.870237,66,285.800981
515.973336,74,286.210883
456.73981,53,286.503103
507.474166,67,286.873543
439.098444,87,287.357212
504.989415,63,287.702229
496.174282,55,288.005632
432.671829,64,288.359927
479.47087,51,288.644305
475.773744,56,288.950399
492.220459,68,289.322069
488.689457,53,289.612111
447.374295,63,289.960412
523.918884,63,290.307754
433.920587,57,290.626856
478.299078,64,290.97848
505.118741,57,296.452431
485.731489,51,296.736498
511.164288,57,297.056337
490.986469,63,297.409229
460.07798,55,297.717455
439.62561,51,298.002996
506.037104,56,298.314517
464.191312,49,298.587023
505.1128,59,298.91552
476.066902,60,299.251728
470.626565,48,299.521287
475.935015,51,299.808939
429.150196,48,300.081708
523.486441,55,300.386847
465.831932,56,300.698741
500.455523,53,300.992856
489.526228,66,301.360799
517.275383,59,301.690282
517.550535,53,301.985702
464.023319,49,302.259462
483.50658,86,302.738523
466.968793,52,303.02856
495.584856,71,303.426456
480.561384,49,303.699562
508.75903,52,303.9894
517.623776,64,304.347531
474.880897,50,304.626224
507.667114,63,304.98013
489.599359,52,305.271096
447.234491,52,305.561165
477.605433,60,305.895113
535.583484,57,306.212672
455.774065,46,306.469889
497.513007,65,306.832484
509.79919,50,307.112073
491.394737,51,307.394475
488.279263,52,312.675842
496.34544,53,312.97046
456.036518,44,313.2166
462.357029,57,313.535259
470.848253,47,313.796706
507.574787,57,314.114022
487.709294,61,314.452875
500.446863,56,314.763807
443.730409,46,315.022871
502.681212,56,315.335711
489.368542,71,315.744543
448.065788,48,316.014281
468.329802,52,316.303359
473.224692,44,316.548791
491.788705,58,316.874372
457.817021,52,317.164504
459.864976,48,317.433119
458.567084,63,317.786394
434.097782,44,318.032109
480.727217,51,318.318327
494.861248,56,318.63402
466.539805,58,318.959547
486.030054,53,319.254632
508.333934,52,319.543213
446.679037,47,319.805071
444.548763,42,320.037783
508.176438,56,320.349852
452.369084,47,320.611312
506.163795,56,320.92407
492.62569,50,321.204141
496.624382,53,321.50153
467.976912,49,321.776476
439.828993,61,322.116611
478.150849,52,322.406138
466.003485,64,322.761897
475.391837,50,323.039645
492.352094,50,323.317551
475.369697,64,323.673392
480.493987,51,323.955934
541.491586,52,329.529836
514.480863,60,329.863986
485.532248,77,330.291237
498.589723,52,330.581068
496.573854,55,330.88731
511.138961,58,331.208323
464.527854,51,331.491317
489.635155,50,331.775517
485.581539,49,332.049029
455.604666,48,332.315554
473.340503,41,332.54557
445.005483,53,332.840393
478.832105,51,333.124094
518.366111,49,333.395227
447.268776,46,333.652517
490.714783,47,333.913366
456.780883,43,334.153187
458.182753,48,334.415984
466.666273,49,334.689289
489.312038,47,334.945729
498.86068,55,335.251823
485.442904,56,335.55889
462.291119,48,335.823543
448.529683,47,336.081858
524.877862,52,336.365477
502.903208,49,336.63434
481.547548,52,336.919552
430.524994,48,337.181772
494.075249,53,337.475768
492.329786,49,337.742115
473.336346,49,338.012211
460.98559,49,338.285271
469.886679,53,338.580483
445.177754,45,338.843663
454.284842,52,339.134233
500.769612,52,339.422569
499.684918,53,339.716766
454.627054,54,340.016179
513.915378,63,340.367474
504.712298,51,340.650911
450.69813,42,346.095998
463.559335,49,346.368389
516.423765,54,346.670514
481.029521,46,346.929921
492.369956,52,347.220827
501.017616,47,347.482208
471.572658,59,347.81312
513.388022,51,348.096583
504.365706,52,348.386353
505.031557,50,348.666342
444.683619,40,348.88815
477.351893,49,349.163139
451.74496,44,349.40859
485.188088,66,349.776298
476.462493,49,350.049818
471.084261,48,350.317205
469.875485,46,350.572758
444.457609,60,350.909462
511.67374,55,351.215559
523.923507,51,351.499937
519.753986,49,351.777008
476.773018,42,352.010705
448.386117,42,352.244404
492.009989,56,352.557004
438.598499,47,352.820292
483.012461,48,353.088028
502.57196,70,353.478521
502.847464,50,353.756995
490.715695,48,354.028802
513.240481,53,354.322835
472.771962,54,354.625784
505.835522,50,354.904954
525.802046,51,355.189751
461.114143,45,355.440057
500.507713,54,355.740694
461.838046,52,356.033112
453.444644,52,356.327264
478.093045,47,356.59014
486.205654,43,356.828652
510.813345,54,357.129363
466.160524,47,357.390419
486.275673,47,362.753321
479.568185,48,363.019999
474.018507,50,363.298977
464.34214,49,363.570894
459.501378,51,363.855524
487.113372,55,364.163362
498.575334,50,364.441361
491.771081,47,364.703154
466.913578,54,365.004164
485.310556,43,365.245994
482.952571,51,365.533807
528.056617,54,365.836444
517.307284,46,366.092662
476.119186,43,366.331686
499.189286,50,366.610541
520.183416,49,366.882448
454.90672,42,367.116687
517.057096,56,367.428134
495.791639,49,367.701455
461.212817,44,367.948238
491.503628,43,368.188859
472.017278,48,368.458515
446.089746,41,368.687842
466.281505,42,368.92176
499.25515,48,369.189864
461.011787,52,369.480677
466.873861,44,369.72718
488.219458,56,370.039138
455.493279,44,370.284515
465.650409,43,370.52331
452.446657,40,370.746013
458.183151,45,370.99846
474.153633,45,371.250321
481.019968,44,371.496011
498.779093,46,371.754301
465.547843,43,371.994742
488.635146,50,372.272323
468.301717,47,372.534403
438.605333,42,372.768696
504.162418,61,373.110111
518.659055,52,373.400791
511.924367,51,373.688813
452.452625,40,373.912175
490.491918,45,379.177179
461.650865,54,379.479572
438.327112,40,379.703452
498.851653,49,379.976566
535.028953,49,380.249304
443.743367,39,380.465871
442.625998,45,380.716297
493.678167,47,380.978331
502.397061,51,381.260024
456.89678,41,381.486926
501.419159,41,381.716046
496.894999,45,381.967418
435.496282,54,382.269355
496.198873,47,382.53147
468.145142,42,382.766027
464.535827,42,382.99887
505.333556,51,383.2827
456.289244,41,383.51033
515.842426,54,383.816212
484.230146,42,384.047756
489.977427,45,384.303824
472.000044,41,384.53138
496.244564,46,384.793067
455.310998,50,385.073947
471.210758,41,385.30344
452.876681,53,385.598631
476.278337,44,385.843389
463.851655,40,386.067154
487.766909,45,386.317444
446.840581,40,386.541167
505.518585,56,386.852323
462.53596,47,387.113603
476.194989,47,387.374052
475.574784,47,387.638608
493.88636,44,387.884055
531.615421,46,388.141337
468.388713,45,388.391588
456.141802,42,388.625075
475.991369,43,388.865261
495.892492,47,389.126743
498.617515,45,389.37848
495.53464,49,389.651553
501.940167,45,389.90276
496.875866,49,390.175498
463.384128,43,395.390762
485.833749,44,395.636501
466.404281,43,395.875911
475.449145,58,396.198042
514.139956,45,396.448067
466.389085,47,396.709207
519.920479,45,396.959669
475.062867,39,397.176663
486.267402,46,397.431221
452.963584,39,397.646587
472.500861,42,397.883796
456.743323,42,398.120002
466.56399,42,398.354899
486.243026,50,398.634294
499.321257,42,398.867489
488.406065,47,399.130907
503.025255,44,399.376225
466.006165,50,399.654631
469.540019,43,399.893579
496.421445,46,400.153911
455.880038,41,400.382635
511.275372,46,400.638146
501.540726,47,400.901209
496.51377,50,401.179115
492.04922,48,401.448346
470.994829,42,401.683222
451.362275,41,401.911999
505.756216,49,402.185234
481.883121,39,402.404584
