#{"t_start": 1774404047.9953794, "env_id": "None"}
r,l,t
-639.517231,2169,17.351433
5.308231,1017,22.97636
15.276198,947,33.206586
399.128622,201,34.309097
368.473544,309,35.991043
382.022942,311,37.701794
321.34108,398,39.885602
379.226934,292,41.488844
409.969257,203,42.603055
355.488775,306,49.543687
387.257034,178,50.535736
369.041611,182,51.547931
417.145442,210,52.720758
425.613097,245,54.083582
424.10177,130,54.805862
397.959325,173,55.771587
403.442969,201,56.893842
419.446885,209,58.057097
362.266583,179,59.059992
467.991559,187,60.105863
440.679928,149,65.950356
434.239965,121,66.624887
423.941571,132,67.358756
480.874588,140,68.132267
467.510386,139,68.896493
460.642665,146,69.698476
413.251313,105,70.273557
439.749909,145,71.068143
456.092986,161,71.953197
428.637348,186,72.980984
419.79639,149,73.803304
415.411846,150,74.631723
417.109371,147,75.436998
423.530317,109,76.034041
483.998632,136,76.783484
461.964353,103,82.376033
451.866265,104,82.956651
468.655837,98,83.505327
478.102318,98,84.050995
406.558661,116,84.694259
418.479853,130,85.417648
440.930054,137,86.183753
458.267013,132,86.925558
447.003052,87,87.412406
430.298459,109,88.020228
439.962563,88,88.511754
461.196137,129,89.23563
467.132593,119,89.899512
449.847796,115,90.541298
463.139608,91,91.048258
450.05717,104,91.631575
482.480782,93,92.153536
505.587895,88,92.645074
480.601401,93,93.164746
470.388683,92,93.679838
412.496888,85,98.82523
449.317468,70,99.205362
452.638342,82,99.654127
509.209306,99,100.193745
431.506138,79,100.623312
492.967632,81,101.063847
417.944338,128,101.762038
486.34188,89,102.242767
429.774148,81,102.683999
505.333039,94,103.199145
462.467089,110,103.816321
484.890147,80,104.262221
424.493568,89,104.757064
474.05835,100,105.313946
431.891866,72,105.71724
477.390381,140,106.49556
463.998054,83,106.957706
450.503001,82,107.41262
501.803745,88,107.902807
484.854852,106,108.494381
408.010402,107,109.091892
474.437817,92,109.603641
487.25814,92,115.261312
461.91616,77,115.689102
460.835951,81,116.143722
474.394356,78,116.582237
494.720139,86,117.061081
453.431443,84,117.530794
456.753131,81,117.984002
496.681012,72,118.387333
464.916211,75,118.806706
434.164317,64,119.165206
440.888463,71,119.562
486.076932,88,120.055274
484.25867,91,120.563471
476.506989,95,121.095896
432.068014,80,121.543915
486.583348,85,122.020103
453.431886,69,122.407405
431.764208,109,123.018642
435.668108,71,123.416167
488.092065,98,123.965438
485.307193,93,124.488924
476.043094,70,124.881597
450.403425,95,125.413701
456.982281,83,125.885697
460.583831,79,131.462295
473.782965,83,131.921192
468.818524,74,132.331854
458.685848,64,132.689513
432.840659,62,133.033637
480.095,77,133.461593
515.493574,71,133.858268
468.93944,69,134.243054
496.559715,69,134.629679
476.437054,89,135.124362
482.122236,90,135.626091
457.324575,63,135.976833
467.794123,80,136.421586
470.583775,86,136.900123
441.79723,67,137.272913
491.583968,91,137.779307
483.330209,84,138.25315
484.115898,75,138.672465
450.698347,92,139.18566
423.763286,67,139.558323
436.770444,67,139.930292
473.618821,81,140.37985
500.499039,85,140.852276
507.529957,96,141.385777
506.203277,81,141.838697
445.772943,60,142.173673
470.700522,74,142.584682
435.612999,70,147.584644
505.152027,80,148.024861
457.121721,66,148.404903
448.46092,66,148.77665
467.988398,61,149.118276
458.911662,73,149.530922
481.405807,72,149.934718
480.742264,77,150.368091
458.019548,61,150.711867
414.186496,84,151.183013
492.096767,77,151.613116
451.309858,64,151.973978
497.011878,65,152.339716
484.955436,71,152.740435
473.63653,91,153.251979
445.841729,54,153.555409
492.639813,74,153.969765
467.636701,69,154.357888
456.767175,71,154.758137
450.836643,63,155.112978
426.610547,69,155.50143
466.780231,67,155.875497
463.919299,72,156.279466
439.843187,63,156.634853
506.33201,78,157.074181
468.710309,62,157.423479
440.28854,62,157.770566
512.599864,74,158.18343
443.842345,62,158.533089
493.246911,69,158.921567
475.584395,69,164.526415
452.109202,85,164.998276
478.549012,67,165.36555
496.350959,71,165.757535
471.688677,98,166.298903
505.571569,77,166.72558
438.477514,59,167.050867
495.487605,65,167.408952
489.929353,76,167.82632
456.712538,58,168.145858
461.740217,63,168.493407
454.92761,60,168.822043
446.561161,71,169.212256
454.683122,58,169.529555
491.089757,66,169.892926
474.329948,57,170.205355
487.083961,69,170.587275
456.058983,62,170.928997
465.520393,60,171.274422
457.453801,69,171.659932
