#{"t_start": 1774417108.120856, "env_id": "None"}
r,l,t
-204.837409,135,1.519484
-583.894016,847,9.977666
-263.628296,210,12.074236
-394.804484,485,17.102248
1.483506,974,49.136502
-34.173677,1061,60.553454
196.621442,610,88.669364
377.166375,267,91.553051
354.626615,278,94.319222
353.96017,217,96.469464
308.344604,361,100.029688
388.146518,321,103.222603
355.468189,259,105.784575
323.547969,348,130.43437
423.955961,168,132.088514
383.009875,170,133.791935
411.386427,179,135.571992
353.907795,311,138.684793
402.137802,196,140.638065
407.74049,226,142.879426
404.197177,178,144.675689
433.634344,249,147.297292
420.266562,169,170.695142
400.383756,121,171.91427
401.121216,183,173.719949
449.506952,160,175.301688
378.272437,211,177.424437
417.786109,151,178.963889
439.330497,152,180.632162
430.17487,193,182.737494
399.427046,126,184.073004
397.337825,203,186.270248
424.285497,156,187.911419
395.221748,241,190.359516
441.287844,149,213.981073
423.992061,131,215.394345
495.292559,125,216.738156
461.452767,116,217.975844
452.165141,115,219.201351
446.152015,185,221.200552
385.533428,150,222.772088
463.993856,122,223.961715
436.670551,97,224.952265
427.240767,98,225.945844
460.450626,99,226.94954
383.58017,155,228.495994
448.338988,134,229.812058
436.266441,95,230.792649
463.567896,115,231.940477
422.210464,131,233.259545
479.07643,122,234.449336
486.793528,105,256.634892
458.88515,97,257.605619
447.397436,123,258.823118
467.033693,84,259.655441
487.047751,89,260.531528
488.73469,96,261.496836
417.740188,116,262.621449
418.188909,119,263.82803
442.623664,109,264.923105
431.84556,97,265.873637
445.836866,89,266.763936
468.028598,132,268.079368
424.01117,126,269.342522
477.18101,114,270.48401
492.401622,89,271.373226
434.773425,119,272.564085
446.671548,84,273.370976
466.362687,101,274.39346
406.023475,124,275.67761
424.92298,95,297.836232
489.41511,101,298.86095
431.10008,94,299.802172
439.660607,87,300.642963
409.927355,105,301.721963
453.799721,101,302.741618
485.593326,97,303.713019
505.521473,89,304.603237
400.58596,150,306.095161
457.078822,87,306.977832
471.571315,107,308.075496
429.150057,82,308.903831
431.731574,86,309.888348
436.264575,74,310.660582
448.541223,73,311.454716
428.074361,88,312.408815
475.477472,95,313.467555
457.008153,94,314.44571
449.287385,81,315.370907
415.931561,80,316.22071
423.013104,145,317.767925
418.162272,103,318.831257
443.502386,95,342.103824
466.734879,77,342.931286
501.927917,82,343.84511
476.192471,82,344.756194
398.627372,120,346.027207
477.844962,87,346.975257
491.459933,96,348.040141
447.571377,72,348.794719
450.634576,103,349.883613
456.738447,99,350.974127
502.778841,83,351.889579
502.453169,87,352.788403
440.833449,82,353.581152
479.040781,79,354.402132
432.000771,71,355.106615
492.904231,89,356.007371
432.142025,69,356.729751
423.549508,69,357.422254
456.868132,68,358.116368
480.081854,85,358.953194
483.860063,100,359.97813
500.760988,82,360.772368
438.400263,66,361.462288
449.661634,81,362.251565
437.904587,60,384.209012
492.800126,80,385.012408
427.737255,64,385.689881
456.398552,69,386.341408
468.930902,72,387.096193
503.306853,90,388.00359
430.485454,67,388.673268
438.098517,66,389.327693
438.141141,76,390.105745
477.561596,76,390.858802
484.642357,94,391.783452
483.228058,81,392.580526
475.775646,66,393.276612
462.122239,68,393.956803
473.431263,97,394.920376
480.009686,83,395.761465
487.550384,69,396.441209
438.370437,93,397.351578
443.991268,60,397.929837
474.212655,75,398.690718
454.542839,91,399.593596
458.083743,69,400.283147
467.861459,79,401.080648
448.925082,74,401.838991
432.764963,62,402.416854
503.692376,90,403.347094
474.102798,81,404.152184
507.696449,83,426.243335
448.283563,72,426.962629
452.765236,65,427.620021
441.732653,56,428.193239
478.541851,64,428.842283
442.445273,76,429.61262
457.017798,60,430.173406
433.594603,56,430.742699
455.442535,94,431.699021
