#{"t_start": 1774398657.1129565, "env_id": "None"}
r,l,t
-258.796799,212,2.007393
-310.065523,283,3.564248
-359.37241,350,5.476994
-321.880157,328,7.271457
-216.008652,141,8.04527
-310.770969,307,9.713269
-264.935767,238,11.007878
-498.828065,957,21.566134
-298.173444,391,23.758152
-1589.48364,3743,54.482717
19.933217,382,56.629493
-127.464001,771,60.949882
211.880735,517,69.038986
148.64255,739,73.169147
254.514515,520,76.080786
291.551411,446,83.251174
356.371137,312,84.98789
353.643712,278,86.538871
352.640052,364,88.561895
293.391242,328,90.384061
312.883012,297,92.040561
207.591634,553,100.09795
276.788819,377,102.154816
329.938862,364,104.135053
355.26874,309,105.810435
295.4839,334,107.642288
373.162649,217,108.833547
380.084441,249,110.18705
294.281528,404,117.556314
380.459952,281,119.123403
366.936345,267,120.619915
377.476078,263,122.09214
396.014075,206,123.242526
404.068958,231,124.529334
393.156353,214,125.724897
362.412611,259,132.367177
387.15624,214,133.558822
346.379163,320,135.346406
373.731104,185,136.375692
376.332636,194,137.459963
357.882031,252,138.868882
393.176445,164,139.787353
398.955502,210,140.961156
373.857957,236,142.280792
402.449929,147,143.101744
370.595378,188,148.738685
411.056679,183,149.740151
398.0456,272,151.221484
436.816359,175,152.180844
388.753216,192,153.227189
387.916574,158,154.089444
397.260139,171,155.016244
352.080085,238,156.314922
343.207317,224,157.537272
428.536373,211,158.68981
439.945433,184,164.688993
405.388063,160,165.57793
394.25061,152,166.424111
402.99225,180,167.431935
406.641533,161,168.329817
436.969267,153,169.182434
432.104131,188,170.231887
416.965846,183,171.247713
415.210531,145,172.06183
438.331504,175,173.03794
381.717383,230,174.3264
420.616242,212,175.514981
417.172601,153,181.69036
418.262708,203,182.79422
451.91592,150,183.622592
441.376575,148,184.436833
413.543848,147,185.244577
372.973476,184,186.25626
417.795961,122,186.927943
441.279912,147,187.731583
402.17049,146,188.538679
400.889837,245,189.88205
411.421942,171,190.817711
398.548196,135,191.557864
429.667749,125,192.241786
446.239078,144,198.122897
436.350358,118,198.779902
435.355367,142,199.57187
384.483375,186,200.614235
434.413849,178,201.609662
449.967466,165,202.535056
414.645656,188,203.589049
386.191582,182,204.609408
358.541,191,205.677767
371.256815,235,206.996622
399.367497,114,207.634107
464.057633,157,208.511039
409.347501,133,214.856166
410.484005,135,215.610614
434.686838,146,216.429496
398.143255,137,217.196516
462.614608,137,217.962222
444.614898,132,218.697885
437.752472,173,219.665913
463.295898,128,220.386334
411.22835,161,221.286152
428.404613,111,221.909114
433.961737,158,222.788816
415.437445,225,224.049409
433.081203,138,224.822256
443.643539,140,225.605686
476.578857,143,231.332452
412.913686,148,232.162249
453.542926,138,232.942832
420.570755,143,233.74898
400.017332,145,234.564025
450.572665,149,235.402802
439.059822,125,236.104233
453.215624,115,236.751534
420.452708,110,237.37051
413.141247,115,238.013905
486.418949,142,238.813519
424.03847,108,239.416538
415.509356,122,240.100723
479.969144,133,240.846756
406.972292,121,241.525388
409.859941,148,247.537694
408.91258,110,248.149075
491.997197,128,248.864022
433.822508,158,249.750736
476.663151,134,250.499033
456.134258,116,251.147678
413.269769,108,251.753046
436.170661,123,252.441797
448.386796,130,253.16712
419.090022,111,253.788758
437.264906,134,254.54129
413.444116,125,255.239409
424.475311,124,255.935383
383.001693,166,256.866142
461.018875,121,257.544322
425.200007,112,258.168946
422.166462,101,258.729272
431.371749,102,264.808141
463.748468,120,265.493627
437.699448,104,266.081521
434.003178,111,266.708195
433.060639,128,267.426626
445.192558,102,268.003175
436.724908,124,268.700442
450.770051,102,269.274414
433.026009,114,269.9159
