#{"t_start": 1774387709.1158705, "env_id": "None"}
r,l,t
495.078636,2925,22.205885
539.375031,1533,36.511212
503.555726,561,39.705399
472.339695,528,42.709052
504.833955,552,45.79734
472.420534,522,53.625916
519.05406,369,55.647589
495.386537,332,57.472093
538.788248,427,59.840091
506.22003,326,61.652359
492.734814,395,69.010032
533.612129,333,71.013096
488.41877,260,72.699672
513.509336,250,74.05224
479.338863,242,75.359211
515.642759,277,76.849363
473.255844,281,78.626398
494.448171,230,89.293871
484.426926,190,90.32953
491.160423,215,91.501745
552.058346,248,92.85611
456.741876,226,94.087423
490.872663,230,95.354088
565.37494,337,97.196481
463.251211,186,98.214841
489.714846,267,99.668686
517.015982,177,105.272757
502.654749,189,106.279297
487.60999,185,107.265512
558.735779,198,108.329404
542.550659,219,109.502793
515.550898,182,110.475511
456.230999,148,111.268306
515.773734,181,112.249254
464.092315,179,113.218532
467.645909,177,114.165539
510.327366,198,115.235803
501.655224,179,121.038292
519.009791,197,122.121003
472.857446,148,122.933013
486.817983,161,123.818681
491.888105,167,124.735518
530.144955,166,125.645733
539.555095,186,126.665971
518.092451,161,127.547526
499.131998,155,128.398911
495.791422,151,129.233028
499.935896,159,130.105691
524.074693,180,131.100354
458.475822,134,137.055979
526.284737,183,138.055858
492.511614,136,138.800646
498.226689,160,139.677579
477.284525,121,140.338908
493.899567,150,141.170559
497.003826,179,142.152395
502.670387,159,143.023713
491.416666,155,143.872636
538.72846,162,144.762866
484.646585,161,145.648038
461.542604,133,146.37764
520.262461,150,147.20049
525.477256,149,148.020487
486.918669,136,153.978959
463.825118,125,154.667951
494.802874,194,155.739014
527.640058,173,156.713238
547.983527,140,157.503349
505.301781,131,158.242077
526.898372,152,159.08819
468.085943,131,159.820488
522.876842,150,160.666014
475.84461,172,161.620484
554.93359,155,162.488205
512.2933,136,163.258198
504.176073,138,164.047598
539.519546,140,169.914514
527.048447,144,170.696554
542.215977,141,171.460145
496.518825,143,172.23244
496.681017,178,173.195055
479.233088,119,173.839066
472.572531,111,174.441212
534.014933,143,175.217361
468.454547,120,175.867496
457.357479,131,176.576218
471.944892,145,177.364688
459.15282,116,177.993972
535.129323,141,178.756604
457.444533,111,179.355559
507.255221,120,180.006604
519.100161,173,180.954487
525.985261,136,186.883771
522.150747,129,187.595023
513.599262,118,188.245944
483.134643,104,188.8197
472.314102,100,189.372343
465.706967,99,189.919664
475.039366,118,190.573101
486.197143,121,191.241448
512.683026,128,191.954621
538.740556,129,192.666832
529.361139,144,193.46206
497.514249,128,194.169334
461.594909,104,194.743689
476.462592,139,195.511087
459.301259,105,196.089658
510.086066,144,196.886513
478.635301,102,197.450411
479.081596,123,203.227188
523.351494,117,203.872323
503.658017,115,204.507771
540.31809,134,205.242664
492.871598,118,205.892533
500.387558,123,206.569983
482.662666,134,207.308848
515.694955,109,207.909586
518.342636,115,208.544017
474.211965,100,209.093002
463.602767,98,209.639575
505.766699,106,210.222757
470.093124,99,210.768767
558.885953,133,211.501084
517.491306,134,212.239143
496.048263,99,212.782198
512.734819,120,213.440294
484.198966,105,219.050656
489.945938,113,219.664454
540.201312,117,220.297029
519.850012,128,220.980219
539.631063,114,221.588849
488.10954,104,222.149877
504.462547,103,222.702341
533.255843,113,223.313257
521.457338,107,223.896823
505.656453,114,224.515269
544.638458,144,225.296098
524.983175,128,225.995297
485.668141,109,226.589007
540.063652,115,227.212176
498.159984,115,227.845079
473.521768,108,228.435486
466.940777,121,229.082752
504.880436,112,229.690236
533.654357,119,235.532882
507.984912,104,236.108741
457.377498,89,236.602245
504.952864,130,237.319864
510.265734,111,237.937061
462.664105,108,238.532433
481.30673,93,239.046362
529.791514,125,239.737132
486.200567,100,240.288926
482.666773,100,240.842279
528.11834,109,241.443082
506.911863,103,242.009511
485.750272,98,242.549235
480.748114,97,243.083714
495.310887,102,243.646678
538.839803,108,244.258453
466.004025,93,244.783968
539.997992,125,245.472529
525.279789,125,246.159425
493.362924,102,252.033861
516.298485,102,252.597801
544.108702,112,253.217566
484.259188,95,253.743606
505.012665,92,254.253966
514.052315,97,254.794221
483.952978,98,255.337628
515.447965,111,255.959957
475.770995,95,256.48277
494.532897,87,256.965852
491.16462,101,257.528858
505.274553,100,258.082716
468.146772,99,258.622377
503.904245,103,259.183191
524.640774,104,259.749664
503.882368,95,260.261174
518.725167,97,260.803683
468.445401,87,261.284151
469.829641,97,261.82356
485.361299,97,262.361758
499.924238,98,262.897624
494.598944,95,268.738802
458.788073,124,269.443324
495.75596,112,270.123557
504.433004,94,270.744287
498.354223,86,271.324414
482.32026,93,271.948573
502.636851,97,272.58839
520.209372,123,273.278368
542.805869,101,273.838556
505.278608,109,274.445148
477.602655,103,275.016604
494.808289,89,275.506433
484.885619,96,276.034632
525.161169,105,276.615757
478.402573,90,277.11193
469.405688,95,277.635105
506.82657,97,278.169131
499.349778,94,278.691814
537.286358,105,279.276489
470.707558,92,279.785593
526.940748,108,285.115518
484.783051,88,285.596971
473.869335,91,286.09885
518.89534,96,286.625564
508.966178,90,287.118956
488.708511,87,287.596313
528.286312,101,288.150648
495.718017,96,288.682782
485.566902,91,289.183208
543.015793,96,289.709374
526.109832,98,290.249226
491.994365,92,290.757267
486.854193,93,291.269824
555.930759,105,291.846801
465.460279,87,292.322405
473.560086,90,292.816185
525.229044,93,293.318521
508.160187,89,293.80109
520.074084,100,294.348189
487.345212,94,294.859759
526.852717,91,295.354015
488.317566,92,295.849605
496.748233,91,301.366396
542.094775,98,301.905306
536.402355,95,302.430069
506.506595,91,302.929179
527.765118,88,303.412294
482.592092,97,303.943591
479.362499,137,304.700841
552.399357,96,305.227755
522.853376,95,305.748194
522.941158,99,306.295709
501.185847,91,306.806109
467.206243,87,307.287786
465.634306,81,307.735693
477.521468,82,308.184788
528.336524,95,308.711927
510.558411,108,309.307705
480.141981,91,309.806421
492.411254,82,310.255448
532.567468,91,310.757915
510.025293,90,311.252235
525.398612,92,311.754086
512.810495,90,312.247035
469.006706,83,317.256312
487.608723,92,317.764052
537.577965,92,318.272425
464.593072,81,318.720911
495.506752,86,319.193944
483.784829,81,319.63992
510.344597,88,320.12411
474.243662,81,320.56849
500.297492,92,321.077138
492.312695,88,321.560552
484.04292,86,322.033441
490.071013,82,322.484401
500.822338,91,322.984274
536.682709,99,323.540396
544.131358,99,324.085581
456.209199,78,324.51545
500.658847,106,325.097057
507.061368,100,325.647002
513.977397,92,326.153369
499.063319,89,326.643789
525.819272,99,327.186455
482.607979,84,327.648106
471.831631,83,328.104731
496.090574,87,333.723222
502.501661,92,334.230621
498.90823,90,334.728505
471.357705,80,335.169323
535.869336,90,335.663086
471.181392,80,336.104174
483.984862,83,336.563659
478.303788,87,337.051691
513.323634,89,337.542765
461.50385,76,337.960744
545.882699,98,338.500851
507.234777,95,339.024749
466.664801,79,339.46043
504.227649,86,339.938253
491.118862,86,340.414524
