#{"t_start": 1774414910.8725698, "env_id": "None"}
r,l,t
-217.306364,136,1.545198
-304.906614,322,4.513422
-280.898643,269,7.187697
-835.259312,2595,38.733515
43.684416,499,42.079575
-32.435657,482,56.216631
39.001964,975,62.738989
353.708899,257,64.502829
352.343015,305,66.610385
315.452915,368,78.403589
467.66875,161,79.529735
402.185667,233,81.18628
414.407418,219,82.712438
380.266104,174,83.961313
304.833205,369,87.046026
337.073456,231,89.157879
421.109023,148,90.607526
397.147588,274,93.315542
381.760219,253,115.880558
409.355581,172,117.487908
446.71994,162,119.011489
426.069453,189,120.814787
425.464121,177,122.511949
425.180242,136,123.853661
438.812899,170,125.452377
339.559338,295,128.217384
450.667738,184,129.920853
443.316936,176,131.550675
403.921772,217,133.570914
412.26105,138,154.029954
394.689477,163,155.555728
435.088363,99,156.481195
464.76743,143,157.812464
440.86947,136,159.07834
435.556023,180,160.759286
466.770314,102,161.680232
375.898654,225,163.756638
474.251142,140,165.070478
446.558072,170,166.630328
391.302762,163,168.154202
468.007745,121,169.302002
387.738727,171,170.878677
418.022482,105,171.866862
459.0257,126,192.086182
434.002596,119,193.190326
446.398215,159,194.637724
396.298621,121,195.759809
438.587149,127,196.94793
437.71741,102,197.881861
449.504919,112,198.914495
463.231913,97,199.821285
425.379104,96,200.727447
473.310942,112,201.782548
464.383995,102,202.720478
469.790722,129,203.91515
451.235613,126,205.091103
382.579576,144,206.513552
451.714812,99,207.476295
467.138419,104,208.516232
437.372808,132,209.857158
456.776892,113,210.981974
452.201102,98,232.771006
414.256881,148,234.190983
448.090518,93,235.068692
442.788098,80,235.808402
426.53178,119,236.958108
428.487798,133,238.289257
436.896899,106,239.334858
440.969165,78,240.094221
465.738539,75,240.827698
459.408917,96,241.777072
470.037814,92,242.648285
423.006337,124,243.828779
465.127147,92,244.69579
510.475035,110,245.724868
451.562335,79,246.497513
404.853865,95,247.401141
441.013297,99,248.335428
492.763541,99,249.282263
411.826285,134,250.565784
510.179217,95,251.466961
507.999003,78,276.323195
425.637238,85,277.136393
446.612047,78,277.858198
455.816792,137,279.122855
437.203549,74,279.818013
467.240939,76,280.539103
424.902429,87,281.350519
502.43158,90,282.186272
438.009721,89,283.03267
464.508576,77,283.757294
465.933448,72,284.422174
448.600553,84,285.209601
473.976914,88,286.041971
407.956196,86,286.839058
448.133858,75,287.540255
434.253344,76,288.258964
491.942022,92,289.113356
482.221223,93,289.976885
458.727201,105,290.972543
460.512236,76,291.661534
466.14216,77,292.394372
421.204032,109,293.432014
456.616675,106,294.424772
482.790953,93,316.648056
462.811024,100,317.681517
439.880756,66,318.352801
436.118654,65,319.032259
468.329455,73,319.785449
484.113407,118,320.974375
466.627293,122,322.187264
498.987305,78,322.957925
494.454375,77,323.703712
475.824297,94,324.673196
487.905187,83,325.528769
435.328877,115,326.639109
474.364404,83,327.407026
444.225056,104,328.38617
464.775727,86,329.193794
471.316821,77,329.950047
448.0049,125,331.135677
448.324354,94,332.034601
443.794368,142,333.436625
433.757389,80,334.216417
467.081186,77,334.949816
473.042366,71,335.629058
